,countries,genres,movie_duration,year
0,['США'],"['мультфильм', 'комедия', 'приключения', 'семейный']",89,2008
1,['Россия'],"['драма', 'история']",124,2008
2,"['США', 'Германия', 'Китай']","['ужасы', 'фэнтези', 'боевик', 'триллер', 'приключения']",112,2008
3,['Россия'],['комедия'],106,2008
4,"['США', 'Германия']","['фэнтези', 'боевик', 'триллер', 'криминал']",110,2008
5,['США'],"['фантастика', 'боевик', 'драма', 'комедия']",88,2008
6,['США'],"['мультфильм', 'боевик', 'комедия', 'приключения', 'семейный']",91,2008
7,"['Великобритания', 'США']","['боевик', 'триллер', 'приключения']",106,2008
8,['Россия'],"['мелодрама', 'комедия']",100,2008
9,['США'],"['фантастика', 'боевик', 'триллер', 'приключения']",123,2008
10,['Россия'],"['мюзикл', 'драма', 'мелодрама', 'комедия']",136,2008
11,"['США', 'Польша', 'Словения', 'Чехия']","['фэнтези', 'боевик', 'приключения', 'семейный']",150,2008
12,['США'],"['мультфильм', 'драма', 'комедия', 'приключения', 'семейный']",96,2008
13,['США'],"['мультфильм', 'фантастика', 'приключения', 'семейный']",98,2008
14,['США'],"['фантастика', 'триллер', 'драма']",100,2008
15,['Россия'],"['комедия', 'военный']",99,2008
16,['США'],"['фантастика', 'боевик', 'приключения']",127,2008
17,"['США', 'Великобритания', 'Германия']","['мюзикл', 'мелодрама', 'комедия', 'семейный']",108,2008
18,['Франция'],"['боевик', 'триллер', 'криминал', 'детектив', 'приключения']",104,2008
19,['США'],"['ужасы', 'фантастика', 'триллер', 'драма']",96,2008
20,"['Великобритания', 'США']","['фантастика', 'боевик', 'драма', 'приключения']",162,2009
21,['США'],"['мультфильм', 'комедия', 'приключения', 'семейный']",94,2009
22,['США'],"['фантастика', 'боевик', 'приключения']",158,2009
23,['Россия'],"['фантастика', 'боевик']",115,2009
24,['Россия'],"['фантастика', 'боевик', 'мелодрама', 'комедия', 'приключения']",100,2009
25,"['Великобритания', 'США']","['фэнтези', 'детектив', 'приключения', 'семейный']",153,2009
26,['США'],"['фэнтези', 'драма', 'мелодрама', 'приключения']",130,2009
27,['США'],"['фантастика', 'боевик', 'приключения']",150,2009
28,['Россия'],"['драма', 'комедия', 'приключения']",113,2009
29,"['Россия', 'Украина', 'Польша']","['боевик', 'драма', 'военный', 'история']",131,2009
30,"['США', 'Германия']","['боевик', 'триллер', 'драма', 'комедия', 'криминал', 'детектив', 'приключения']",128,2009
